establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web
10540982166174,HOSPITAL COVID 19 DE CAMPAÑA SAN MARTIN (POLIDEP. MUNICIPAL) SAN IGNACIO,54098110000,SAN IGNACIO,54,MISIONES,98,SAN IGNACIO,110,0.0,Provincial,10,ESCIG,Bajo riesgo con internación simple,3322,AVDA SAN MARTÍN S/N,
51141192335294,NOVELLA LABORATORIOS,14119120000,LUQUE,14,CÓRDOBA,119,RÍO SEGUNDO,120,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5967,9 de Julio 1026,
51065322319179,LABORATORIO SETULA - CORIGLIANO,6532020000,MERCEDES,6,BUENOS AIRES,532,MERCEDES,20,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,6600,Calle 33 Nº 468,
51067602319187,LABORATORIO BIOQUIMICO SAN MIGUEL,6760010004,SAN MIGUEL,6,BUENOS AIRES,760,SAN MIGUEL,10,4.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1663,Charlone Nº 990,www.labsanmiguel.com.ar
15500212161327,HOGAR SAN MARTIN.-,50021010004,PRESIDENTE SARMIENTO,50,MENDOZA,21,GODOY CRUZ,10,4.0,Provincial,15,ESCIETE,Bajo riesgo con internación simple,5507,BARRIO DOLORES PRATS DE HUISI LOS CACTUS 2162,www.salud.mendoza.gov.ar
52660562474520,CENTRO DE APOYO Y ADIESTRAMIENTO ANTIDROGAS MOSCONI - GENDARMERIA NACIONAL ARGENTINA,66056110000,GENERAL MOSCONI,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,110,0.0,FFAA/Seguridad,52,ESSIT,Otros,4566,Ruta 34 km 1424,
15064902319285,HOGAR GERIATRICO PORTELA,6490010003,LOMAS DE ZAMORA,6,BUENOS AIRES,490,LOMAS DE ZAMORA,10,3.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,1832,Portela N° 543,
15821262388804,HOLEPAM JACARANDA,82126140000,SAN JORGE,82,SANTA FE,126,SAN MARTÍN,140,0.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,2451,Dorrego Nº 943,
15821332188830,RESIDENCIA DE ADULTOS MAYORES EL TAJAMAR,82133150000,TARTAGAL,82,SANTA FE,133,VERA,150,0.0,Provincial,15,ESCIETE,Bajo riesgo con internación simple,3565,Zona Urbana,
51068822319334,LABORATORIO DE ANALISIS CLINICOS ZARATE,6882050000,ZARATE,6,BUENOS AIRES,882,ZÁRATE ,50,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,2800,Andrade n 605,
51140142335355,LABORATORIOS BIOCON,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5000,SAN JOSE DE CALAZANS 258,
15020072319341,INSTITUTO GERIATRICO GAVILAN SRL (ANEXO BOYACA),2007010001,FLORES,2,CABA,7,COMUNA 7,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1407,BOYACA 279,
51140072335381,LABORATORIO DE ANALISIS CLINICOS GLAVE,14007180000,SAN AGUSTIN,14,CÓRDOBA,7,CALAMUCHITA,180,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5191,SAN MARTIN 257,
15020112319248,GERUSIA II,2011010002,VILLA DEVOTO,2,CABA,11,COMUNA 11,10,2.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1417,JOSE PEDRO VARELA 3845,
15020062319264,BELAUSTEGUI,2006010001,CABALLITO,2,CABA,6,COMUNA 6,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1416,DR. LUIS BELAUSTEGUI 1223,
50420212354495,CONSULTORIO ODONTOLOGICO LUIS ARIEL HERRERO,42021020000,SANTA ROSA,42,LA PAMPA,21,CAPITAL,20,0.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,6300,VENEZUELA 896,
53066722219206,SAME - RAUCH,6672010000,RAUCH,6,BUENOS AIRES,672,RAUCH,10,0.0,Municipal,53,ESCL,Sistema de Atención extra hospitalaria,7203,SIN DATO,
51141402335305,LABORATORIO CENTRAL S.A.,14140270000,LAS VARILLAS,14,CÓRDOBA,140,SAN JUSTO,270,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5940,Italia 99 Barrio Centro,
51141052335313,LABORATORIO CIOCCATTO,14105130000,LA PUERTA,14,CÓRDOBA,105,RÍO PRIMERO,130,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5137,OBISPO TREJO Y SANABRIA 746,
15020112319304,RESIDENCIA GERIATRICA CHATELET,2011010002,VILLA DEVOTO,2,CABA,11,COMUNA 11,10,2.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1419,fernandez de enciso 3715,
51067492319297,LABORATORIO BIOQUIMICO CLINICO BOMBICINO,6749010001,SAN FERNANDO,6,BUENOS AIRES,749,SAN FERNANDO,10,1.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1646,Gral. Pintos N° 1122,
51660282374525,INSTITUTO PRIVADO DE ANALISIS CLINICOS,66028050000,SALTA,66,SALTA,28,CAPITAL,50,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,4400,20 DE FEBRERO  143,
51068612319307,LABORATORIO DE ANALISIS CLINICOS PARDO,6861010005,MUNRO,6,BUENOS AIRES,861,VICENTE LÓPEZ,10,5.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1605,Av. Velez Sarfield 5992,
51063712319323,LABORATORIO MOLDEC,6371010021,VILLA MAIPU,6,BUENOS AIRES,371,GENERAL SAN MARTÍN,10,21.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1650,Marcelo T. de Alvear N° 1545,www.laboratoriomoldec.com
51064272319354,LABORATORIO CP,6427010004,GREGORIO DE LAFERRERE,6,BUENOS AIRES,427,LA MATANZA,10,4.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1757,Juan B. Justo N° 3089,
51061262319359,LABORATORIO DE ANALISIS CLINICOS CHAPARRO,6126030000,CAMPANA,6,BUENOS AIRES,126,CAMPANA,30,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,2804,Becerra n°927,
15020112319358,RESIDENCIA COPACABANA,2011010001,VILLA DEL PARQUE,2,CABA,11,COMUNA 11,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1406,campana 96,
50500633161365,COMPLEJO PENITENCIARIO VI LUJAN DE CUYO,50063090003,LUJAN DE CUYO,50,MENDOZA,63,LUJÁN DE CUYO,90,3.0,Servicio Penitenciario Federal,10,ESCIG,Bajo riesgo con internación simple,5549,RUTA NACIONAL 7 Y RUTA PROVINCIAL 84,
51141612335404,M.A.S LABORATORIO DE ANALISIS CLINICOS,14161170000,VILLA ASCASUBI,14,CÓRDOBA,161,TERCERO ARRIBA,170,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5935,9 DE JULIO 143,
50500072361380,CUMBRE ODONTOLOGIA INTEGRAL.-,50007010001,1A. SECCION,50,MENDOZA,7,CAPITAL,10,1.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,9 DE JULIO 2135,
51140982335409,LABORATORIO FERREIRO,14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5800,Sobremonte 1172,
51067842319488,LABORATORIO DE ANALISIS CLINICOS NOVAK,6784020000,SUIPACHA,6,BUENOS AIRES,784,SUIPACHA,20,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,6612,Balcarce n°596,
15140912335433,RESIDENCIA GERIATRICA PRIVADA VIRGEN DEL CERRO,14091120000,LA FALDA,14,CÓRDOBA,91,PUNILLA,120,0.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,5172,Victoria 299,
52064082319500,ABRACADABRA CET,6408010002,VILLA SANTOS TESEI,6,BUENOS AIRES,408,HURLINGHAM,10,2.0,Privado,52,ESSIT,Centro educativo terapéutico,1688,Ernesto Plass 4629,
15020102319451,BENDITA VICTORIA,2010010005,VILLA LURO,2,CABA,10,COMUNA 10,10,5.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1408,CORVALAN 475,
51141612335588,LABORATORIO DE ANALISIS CLINICOS UGALDE,14161160000,TANCACHA,14,CÓRDOBA,161,TERCERO ARRIBA,160,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5933,Belgrano 432 Barrio Centro,
51065952319575,LABORATORIO DE ANALISIS CLINICOS MANDAGARAN RODRIGUEZ,6595070000,OLAVARRIA,6,BUENOS AIRES,595,OLAVARRÍA,70,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,7400,ALSINA N°2584,
15140422335649,RESIDENCIA GERIATRICA PRIVADA NUESTRA SEÑORA DEL ROSARIO,14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,5900,Buenos Aires 1674,
15140422335683,RESIDENCIA GERIATRICA PRIVADA SAN NICOLAS,14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,5900,Tucuman 1379,
50500212361397,C.P.A. CENTRO MEDICO LABANTI.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,5501,ALBARRACÍN 1026,
53063572519758,CENTRO DE TELEMEDICINA COVID 19 DE CAMPAÑA - UNIVERSIDAD NACIONAL DE MAR DEL PLATA,6357110003,MAR DEL PLATA,6,BUENOS AIRES,357,GENERAL PUEYRREDÓN,110,3.0,Universitario público,53,ESCL,Otros,7600,Ayacucho 3537,
51066722319768,LABORATORIO RODRIGUEZ PAGANI,6672010000,RAUCH,6,BUENOS AIRES,672,RAUCH,10,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,7203,Aveleyra 696,
51820422388888,LABORATORIO DE ANALISIS CLINICOS DRA MARISOL SPADONI,82042050000,CARMEN,82,SANTA FE,42,GENERAL LÓPEZ,50,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,2618,RIVADAVIA 469,
51140562335810,LABORATORIO DE ANALISIS CLINICOS BUFFA MAZZUCCO,14056070000,GENERAL CABRERA,14,CÓRDOBA,56,JUÁREZ CELMAN,70,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5809,9 de Julio 446,
50940142395538,GABINETE DE PSICOLOGIA-ASESORIA PSICO SOCIO JURIDICO,94014020000,USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,20,0.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,9410,25 DE MAYO Nº 260 2º PISO DPTO Nº 12,
50940142395506,"INSTITUTO DE DIAGNOSTICO Y TRATAMIENTO ODONTOLOGICO, DRA. MAIA JAZMIN ALVAREZ",94014020000,USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,20,0.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,9410,CALLE DELOQUI Nº 532,
52064412319420,CRIA (CENTRO DE REHABILITACION PARA DISCAPACITADOS),6441030015,LA PLATA,6,BUENOS AIRES,441,LA PLATA,30,15.0,Privado,52,ESSIT,Centro Rehabilitación motora,1900,11 e/ 64 y 65 n°1572,
53500072361372,CERCA SALUD.-,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,2.0,Privado,53,ESCL,Internación Domiciliaria,5500,GRAL. ESPEJO 183 PISO 1 LOCAL 14,
50580772168602,PUESTO SANITARIO BUTALON,58077000008,BUTALON NORTE,58,NEUQUÉN,77,MINAS,0,0.0,Provincial,50,ESSIDT,Sin atención médica en forma periódica (menor a 3 veces por semana),8353,área rural htal Las Ovejas,
50580492168613,PUESTO SANITARIO LAGO HUECHULAFQUEN (EL CONTRA),58049010000,JUNIN DE LOS ANDES,58,NEUQUÉN,49,HUILICHES,10,0.0,Provincial,50,ESSIDT,Sin atención médica en forma periódica (menor a 3 veces por semana),8316,"Ruta 61, área rural htal Junín de los Andes",
